timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1554948009.79392,817.1428833,24.98168564,864.2857056,887.2527466
1554948009.79782,807.8754883,25.38461494,601.5750732,758.7179565
1554948009.79808,,,,
1554948009.80172,809.0842285,25.38461494,657.9853516,852.600708
1554948009.80409,,,,
1554948009.80500,,,,
1554948009.80562,809.0842285,25.38461494,977.9121094,994.835144
1554948009.80951,812.3076782,25.38461494,970.2564087,927.5457764
1554948009.81341,813.5164795,25.38461494,703.9194336,772.8204956
1554948009.81731,802.6373901,25.38461494,670.4761963,803.4432373
1554948009.81747,,,,
1554948009.82121,798.2051392,25.38461494,925.1282349,971.46521
1554948009.82346,,,,
1554948009.82511,796.9963379,24.98168564,1042.380981,968.2417603
1554948009.82901,797.8021851,26.59340668,680.9523926,801.4285889
1554948009.83291,805.0549316,23.77289391,491.1721497,765.567749
1554948009.83681,784.9084473,27.3992672,911.0256348,917.8754883
1554948009.83687,,,,
1554948009.84014,,,,
1554948009.84070,776.8497925,50.76922989,1135.86084,989.5970459
1554948009.84283,,,,
1554948009.84460,796.9963379,36.66666794,849.7802124,837.2893677
1554948009.84850,784.1025391,22.96703339,545.164856,737.765564
1554948009.85240,765.9707031,21.35531044,671.2820435,863.0769043
1554948009.85626,,,,
1554948009.85630,786.9230957,61.64834976,973.4798584,985.164856
1554948009.85840,,,,
1554948009.85840,,,,
1554948009.85857,,,,
1554948009.85861,,,,
1554948009.85862,,,,
1554948009.85864,,,,
1554948009.85866,,,,
1554948009.85867,,,,
1554948009.85869,,,,
1554948009.85870,,,,
1554948009.85872,,,,
1554948009.85874,,,,
1554948009.85875,,,,
1554948009.85876,,,,
1554948009.85876,,,,
1554948009.85877,,,,
1554948009.85878,,,,
1554948009.85880,,,,
1554948009.86020,799.8168335,56.00732422,774.432251,875.9707031
1554948009.86220,,,,
1554948009.86410,790.5494385,23.36996269,540.732605,722.0512695
1554948009.86800,786.9230957,11.68498135,745.0183105,806.666687
1554948009.87190,792.1611938,97.10622406,1014.175842,980.732605
1554948009.87529,,,,
1554948009.87565,,,,
1554948009.87579,792.5640869,124.102562,983.5531006,937.2161255
1554948009.87969,791.7582397,18.53479767,709.5604248,770.8058472
1554948009.88157,,,,
1554948009.88359,794.9816895,24.57875443,701.9047852,776.4468994
1554948009.88749,797.8021851,27.80219841,871.1355591,933.1868286
1554948009.89139,803.8461304,24.17582512,898.53479,943.2600708
1554948009.89504,,,,
1554948009.89529,798.2051392,30.21977997,711.1721802,772.0146484
1554948009.89919,789.3406372,15.71428585,599.1575317,726.4835205
1554948009.90095,,,,
1554948009.90309,778.0585938,52.38095093,884.835144,888.4615479
1554948009.90698,770.8058472,112.0146484,1055.27478,967.8388062
1554948009.91044,,,,
1554948009.91088,780.4761963,42.30769348,825.2014771,821.9780273
1554948009.91444,,,,
1554948009.91478,793.3699341,17.72893715,657.5823975,718.4249268
1554948009.91868,805.8607788,29.81685066,681.3552856,836.8864746
1554948009.92032,,,,
1554948009.92258,806.2637329,24.57875443,838.4981689,957.3626099
1554948009.92648,803.0402832,25.38461494,849.7802124,859.4505615
1554948009.93038,796.5933838,25.38461494,645.0915527,721.2454224
1554948009.93383,,,,
1554948009.93428,801.0256348,25.38461494,737.3626099,796.1904907
1554948009.93818,813.1135254,25.38461494,983.1502075,963.0036621
1554948009.93969,,,,
1554948009.94207,810.2930298,25.38461494,884.432251,915.4578857
1554948009.94559,,,,
1554948009.94597,811.5018311,25.38461494,617.2893677,737.765564
1554948009.94987,815.934082,25.38461494,464.1758118,745.8241577
1554948009.95322,,,,
1554948009.95377,797.8021851,25.38461494,674.5054932,904.1758423
1554948009.95767,788.131897,25.38461494,1015.384644,947.2893677
1554948009.95906,,,,
1554948009.95975,,,,
1554948009.95975,,,,
1554948009.95992,,,,
1554948009.95996,,,,
1554948009.95997,,,,
1554948009.95999,,,,
1554948009.96001,,,,
1554948009.96003,,,,
1554948009.96004,,,,
1554948009.96006,,,,
1554948009.96007,,,,
1554948009.96009,,,,
1554948009.96010,,,,
1554948009.96011,,,,
1554948009.96012,,,,
1554948009.96012,,,,
1554948009.96013,,,,
1554948009.96016,,,,
1554948009.96157,785.7142944,25.78754616,838.901123,801.0256348
1554948009.96547,785.3113403,24.98168564,629.3773193,726.8864746
1554948009.96937,791.7582397,24.98168564,839.3040161,881.2088013
1554948009.97261,,,,
1554948009.97326,782.8937988,31.4285717,1046.813232,980.732605
1554948009.97716,786.5201416,28.20512772,830.0366211,855.0183105
1554948009.97843,,,,
1554948009.98073,,,,
1554948009.98106,783.699646,24.17582512,593.9194336,726.0805664
1554948009.98496,776.0439453,25.78754616,776.8497925,832.8571167
1554948009.98886,784.9084473,24.98168564,968.6447144,983.5531006
1554948009.99201,,,,
1554948009.99276,780.0732422,24.98168564,902.5640869,888.0585938
1554948009.99666,775.2380981,28.60805893,707.1428833,733.7362671
1554948009.99780,,,,
1554948010.00056,791.7582397,16.52014732,718.4249268,787.3259888
1554948010.00445,796.1904907,58.42490768,957.3626099,950.5128174
1554948010.00835,804.6520386,78.16849518,875.164856,931.1721802
1554948010.01140,,,,
1554948010.01225,814.7252808,27.80219841,514.9450684,745.4212646
1554948010.01588,,,,
1554948010.01615,812.7106323,14.90842533,622.5274658,726.8864746
1554948010.01718,,,,
1554948010.02005,802.6373901,58.42490768,945.6776733,902.1611938
1554948010.02395,808.2783813,142.6373596,1047.216064,950.1098633
1554948010.02785,809.0842285,72.52747345,863.0769043,799.4139404
1554948010.03079,,,,
1554948010.03175,803.4432373,14.90842533,676.9230957,726.0805664
1554948010.03565,812.7106323,29.81685066,822.7838745,867.9121094
1554948010.03655,,,,
1554948010.03954,822.3809814,24.98168564,937.6190186,967.8388062
1554948010.04344,820.7692261,26.19047546,812.7106323,840.9157715
1554948010.04734,800.6226807,29.41391945,707.5457764,725.2747192
1554948010.05019,,,,
1554948010.05103,,,,
1554948010.05124,787.7289429,10.47619057,801.4285889,831.2454224
1554948010.05514,787.7289429,116.8498154,1052.05127,984.3589478
1554948010.05592,,,,
1554948010.05904,803.4432373,136.593399,994.432251,919.8901367
1554948010.06111,,,,
1554948010.06111,,,,
1554948010.06128,,,,
1554948010.06131,,,,
1554948010.06133,,,,
1554948010.06134,,,,
1554948010.06136,,,,
1554948010.06138,,,,
1554948010.06139,,,,
1554948010.06141,,,,
1554948010.06143,,,,
1554948010.06144,,,,
1554948010.06146,,,,
1554948010.06146,,,,
1554948010.06147,,,,
1554948010.06148,,,,
1554948010.06149,,,,
1554948010.06151,,,,
1554948010.06294,803.0402832,21.35531044,706.3369751,758.7179565
1554948010.06684,793.3699341,16.92307663,709.5604248,799.0109863
1554948010.06958,,,,
1554948010.07073,801.8314819,55.20146561,924.7252808,972.2710571
1554948010.07463,816.3369751,75.75091553,1003.296692,967.032959
1554948010.07529,,,,
1554948010.07853,813.1135254,33.44322205,817.9487305,799.0109863
1554948010.08243,794.1758423,13.29670334,668.4615479,773.6264038
1554948010.08618,,,,
1554948010.08633,802.6373901,55.60439682,887.6557007,933.5897217
1554948010.08897,,,,
1554948010.09023,803.0402832,241.3553162,1091.135498,997.2527466
1554948010.09413,790.1465454,171.6483459,913.4432373,852.600708
1554948010.09466,,,,
1554948010.09803,806.2637329,0,619.7069702,760.3296509
1554948010.10192,807.4725342,54.79853439,708.3516235,880.8058472
1554948010.10582,805.0549316,311.0622559,1080.659302,993.6264038
1554948010.10836,,,,
1554948010.10972,814.3223267,311.0622559,987.9853516,890.8791504
1554948010.11362,813.1135254,47.1428566,685.3846436,736.5567627
1554948010.11403,,,,
1554948010.11752,809.4871826,24.17582512,727.6923218,799.4139404
1554948010.12132,,,,
1554948010.12142,812.3076782,222.4175873,956.9597168,958.5714111
1554948010.12532,803.0402832,260.6959839,951.7216187,906.1904907
1554948010.12776,,,,
1554948010.12922,788.53479,56.81318665,586.2637329,733.7362671
1554948010.13312,790.9523926,0,519.7802124,739.3773193
1554948010.13341,,,,
1554948010.13701,800.6226807,116.8498154,929.1575317,909.4139404
1554948010.14091,809.0842285,269.5604248,1040.769287,942.4542236
1554948010.14481,811.5018311,130.5494537,798.6080322,775.2380981
1554948010.14715,,,,
1554948010.14871,819.1575317,0,661.6116943,716.4102783
1554948010.15261,817.5457764,99.92674255,867.1062012,869.5238037
1554948010.15278,,,,
1554948010.15647,,,,
1554948010.15651,820.7692261,266.7399292,1010.952393,957.3626099
1554948010.16041,831.2454224,113.2234421,778.4615479,818.7545776
1554948010.16246,,,,
1554948010.16246,,,,
1554948010.16263,,,,
1554948010.16266,,,,
